Codigo ,Fecha ,Muestra,Fo,Fm,Eficiencia ,Clorofila
H53A63,29-04-2019,3,233,1165,"0,8","15,6"
H53A63,29-04-2019,4,183,860,"0,787","36,2"
H53A63,29-04-2019,5,211,958,"0,779","33,8"
H53A63,04-05-2019,1,267,680,"0,61","20,9"
H53A63,04-05-2019,2,278,791,"0,648","11,7"
H53A63,04-05-2019,3,230,918,"0,749","29,5"
H53A63,04-05-2019,4,233,802,"0,709","18,2"
H53A63,04-05-2019,5,266,887,"0,795","30,1"
H61A13,08-02-2019,1,,,,"41,7"
H61A13,08-02-2019,2,,,,23
H61A13,08-02-2019,3,,,,"26,6"
H61A13,08-02-2019,4,,,,"38,1"
H61A13,08-02-2019,5,,,,"25,2"
H61A13,13-02-2019,1,200,1134,"0,823",43
H61A13,13-02-2019,2,230,1327,"0,826","66,2"
H61A13,13-02-2019,3,259,1392,"0,813","17,4"
H61A13,13-02-2019,4,249,819,"0,695","34,5"
H61A13,13-02-2019,5,206,879,"0,765","41,9"
H61A13,28-02-2019,1,,,,36
H61A13,28-02-2019,2,,,,"18,9"
H61A13,28-02-2019,3,,,,"41,4"
H61A13,28-02-2019,4,,,,"39,3"
H61A13,28-02-2019,5,,,,"21,6"
H61A13,05-03-2019,1,221,948,"0,766",26
H61A13,05-03-2019,2,202,435,"0,535","21,1"
H61A13,05-03-2019,3,232,822,"0,717","31,4"
H61A13,05-03-2019,4,270,734,"0,632","32,4"
H61A13,05-03-2019,5,225,756,"0,702","22,6"
H61A13,10-03-2019,1,240,1184,"0,797","25,1"
H61A13,10-03-2019,2,205,987,"0,792","23,5"
H61A13,10-03-2019,3,203,1093,"0,814",40
H61A13,10-03-2019,4,193,956,"0,798","42,5"
H61A13,10-03-2019,5,196,951,"0,793","37,8"
H61A13,15-03-2019,1,307,1354,"0,773","22,4"
H61A13,15-03-2019,2,302,1364,"0,778","27,1"
H61A13,15-03-2019,3,245,1336,"0,816","29,4"
H61A13,15-03-2019,4,220,1159,"0,81","35,5"
H61A13,15-03-2019,5,274,1227,"0,776","29,2"
H61A13,30-03-2019,1,197,614,"32,7",
H61A13,30-03-2019,2,183,660,"15,6",
H61A13,30-03-2019,3,205,726,"26,5",
H61A13,30-03-2019,4,202,678,"23,4",
H61A13,30-03-2019,5,168,823,"30,2",
H61A13,29-04-2019,1,248,796,"0,688","9,5"
H61A13,29-04-2019,2,219,577,"0,62","20,7"
H61A13,29-04-2019,3,234,841,"0,721","12,6"
H61A13,29-04-2019,4,208,667,"0,692","17,8"
H61A13,29-04-2019,5,244,983,"0,751",18
H61A13,04-05-2019,1,322,1383,"0,767","34,4"
H61A13,04-05-2019,2,282,1167,"0,758","24,4"
H61A13,04-05-2019,3,262,1365,"0,808","17,6"
H61A13,04-05-2019,4,278,1263,"0,779","27,7"
H61A13,04-05-2019,5,242,1125,"0,784","26,5"
